dataset_name,category,source,last_updated,record_count,file_size_mb
Threat Intel Logs Q1 2025,Threat Intelligence,External Threat Feed,2025-11-01,250000,120.5
Corporate Network Logs Apr-May 2025,Network Logs,Internal SIEM,2025-10-28,1500000,950.0
Endpoint Security Events Mar 2025,Endpoint Monitoring,Internal EDR,2025-10-30,500000,320.2
Phishing Campaign Data Oct 2025,Threat Intelligence,External Security Vendor,2025-11-10,12000,5.5
Firewall Logs Sep-Oct 2025,Network Logs,Internal Firewall,2025-10-25,800000,480.0
Malware Samples Archive,Threat Intelligence,Open Malware Repo,2025-11-12,40000,250.7
User Access Logs Oct 2025,Access Logs,Internal AD,2025-11-05,1000000,600.0
Dark Web Threat Reports,Threat Intelligence,External Dark Web Feed,2025-10-20,8500,15.3
Email Security Logs Sep 2025,Email Security,Internal Email Gateway,2025-10-15,450000,200.8
VPN Connection Logs Oct 2025,Network Logs,Internal VPN Server,2025-11-08,200000,120.0
Ransomware Incident Reports,Threat Intelligence,Internal Incident Response,2025-11-11,1800,8.2
IoT Device Logs,Network Logs,Internal IoT Hub,2025-10-18,350000,210.4
Security Alerts Dashboard,Threat Intelligence,Internal SIEM,2025-11-09,7500,6.1
Cloud Access Logs Oct 2025,Access Logs,Cloud Provider,2025-11-03,950000,540.5
DNS Query Logs Sep 2025,Network Logs,Internal DNS Server,2025-10-22,3000000,1800.0
Web Proxy Logs Oct 2025,Network Logs,Internal Proxy,2025-11-07,850000,470.2
Employee Security Training Records,HR Data,Internal LMS,2025-10-30,12000,3.0
Incident Response Playbooks,Threat Intelligence,Internal Knowledge Base,2025-11-02,500,0.8
Cloud Security Events Oct 2025,Cloud Security,Cloud Provider,2025-11-06,600000,350.0
Malware Sandbox Analysis,Threat Intelligence,Internal Sandbox,2025-11-04,20000,180.0
Web Application Logs Sep-Oct 2025,Network Logs,Internal Web Server,2025-10-29,400000,220.5
Privilege Access Audit Logs,Access Logs,Internal AD,2025-11-01,150000,75.3
Threat Actor Profiles,Threat Intelligence,External Security Vendor,2025-11-03,1200,12.0
Phishing Email Templates,Threat Intelligence,Internal SOC,2025-10-27,850,1.2
Network Intrusion Alerts Oct 2025,Network Logs,Internal IDS,2025-11-08,45000,28.7
Malware Execution Traces,Threat Intelligence,Internal Sandbox,2025-11-10,15000,95.5
Endpoint Configuration Snapshots,Endpoint Monitoring,Internal EDR,2025-11-05,10000,15.0
Database Access Logs Oct 2025,Access Logs,Internal DB Server,2025-11-02,200000,110.0
Cyber Risk Assessment Reports,Threat Intelligence,Internal GRC,2025-10-30,300,2.1
Vulnerability Scan Results Oct 2025,Threat Intelligence,Internal Vulnerability Scanner,2025-11-07,7500,25.0
Cloud Storage Audit Logs,Cloud Security,Cloud Provider,2025-11-09,120000,90.0
Internal Ticketing System Logs,Access Logs,Internal ITSM,2025-11-06,500000,180.0
Network Topology Snapshots,Network Logs,Internal Network Team,2025-10-31,1000,12.5
Threat Intel Historical Archive,Threat Intelligence,External Feed,2025-11-12,500000,300.0
Firewall Rule Changes Audit,Network Logs,Internal Firewall,2025-11-08,1500,2.0
Malware Behavioral Analysis,Threat Intelligence,Internal Sandbox,2025-11-11,22000,150.0
Cloud Configuration Snapshots,Cloud Security,Cloud Provider,2025-11-05,4500,20.0
Phishing Simulation Results,Threat Intelligence,Internal SOC,2025-10-29,12000,6.5
dataset_name,category,source,last_updated,record_count,file_size_mb
Application Logs Sep 2025,Network Logs,Internal App Server,2025-10-21,650000,340.5
Server Performance Metrics Oct 2025,Endpoint Monitoring,Internal Monitoring Tool,2025-11-04,1200000,780.0
User Behavior Analytics Q3 2025,Threat Intelligence,Internal Analytics,2025-11-10,450000,210.0
Cloud Audit Logs Sep-Oct 2025,Cloud Security,Cloud Provider,2025-11-08,220000,125.5
Intrusion Detection Logs Oct 2025,Network Logs,Internal IDS,2025-11-09,90000,45.0
Malware Signature Updates,Threat Intelligence,External Malware Feed,2025-11-11,32000,180.0
Endpoint Patch Reports,Endpoint Monitoring,Internal EDR,2025-11-03,50000,28.0
Phishing Detection Logs Oct 2025,Threat Intelligence,Internal SOC,2025-11-12,18000,12.0
Firewall Traffic Analytics Sep-Oct 2025,Network Logs,Internal Firewall,2025-11-07,400000,230.0
VPN Audit Trails Oct 2025,Access Logs,Internal VPN Server,2025-11-06,150000,95.0
Security Policy Change Logs,Threat Intelligence,Internal Governance,2025-11-02,1200,5.5
HR System Access Logs,Access Logs,Internal HR System,2025-11-01,80000,40.0
Cloud Service Usage Reports,Cloud Security,Cloud Provider,2025-11-09,250000,160.0
Web Application Firewall Logs,Network Logs,Internal WAF,2025-11-05,600000,320.0
Threat Campaign Intelligence,Threat Intelligence,External Threat Feed,2025-11-12,15000,22.0
Database Query Logs Oct 2025,Access Logs,Internal DB Server,2025-11-03,300000,180.0
Incident Response Metrics,Threat Intelligence,Internal IR Team,2025-11-04,4000,15.0
Malware Detection Alerts,Threat Intelligence,Internal Sandbox,2025-11-11,25000,135.0
IoT Security Logs Oct 2025,Network Logs,Internal IoT Hub,2025-11-08,120000,72.0
Employee Compliance Reports,HR Data,Internal LMS,2025-11-07,15000,8.0
Network Bandwidth Usage Logs,Network Logs,Internal Monitoring Tool,2025-11-06,500000,280.0
Cloud Infrastructure Events Oct 2025,Cloud Security,Cloud Provider,2025-11-10,110000,70.0
Endpoint Malware Scan Results,Endpoint Monitoring,Internal EDR,2025-11-05,45000,30.5
Email Threat Analytics Oct 2025,Email Security,Internal Email Gateway,2025-11-09,60000,35.0
Vulnerability Patch Reports,Threat Intelligence,Internal Vulnerability Scanner,2025-11-08,9000,6.0
Internal Network Access Logs,Access Logs,Internal AD,2025-11-06,100000,55.0
Cyber Risk Assessment Metrics,Threat Intelligence,Internal GRC,2025-11-07,250,1.5
Phishing URL Blocklist,Threat Intelligence,Internal SOC,2025-11-12,8000,4.2
Application Error Logs Sep-Oct 2025,Network Logs,Internal App Server,2025-11-05,300000,170.0
Server Configuration Snapshots,Endpoint M
